6.083788,50.776207
6.083788,50.776207
10.415,57.5933
9.916666666,57.05
9.916666666,57.05
9.916666666,57.05
9.916666666,57.05
11.723611111,54.664444444
8.0446,47.3923
7.901388888,47.320555555
10.209722222,56.156388888
10.209722222,56.156388888
14.306944444,45.334722222
13.596466735,55.394023264
26.45,60.494167
122.328,49.054611111
11.85013,48.81672
4.25939,52.24245
2.585705555,56.561386111
2.1,57.15
2.1,57.15
37.466666666,12.6
22.27,60.451666666
22.27,60.451666666
13.833333333,42.216666666
30.066666666,31.316666666
7.65,11.15
50.836666666,28.968888888
37.466666666,12.6
99.8901,16.86336
2.36384,53.75337
46.166666666,48.283333333
34.901558718,50.307431827
70.011111111,32.653611111
176.636,51.872
43.351944,10.800833
79.5217,9.121
35.31346,37.00262
138.6,34.9275
11.390993,55.771076
14.21666667,45.78333333
17.496111111,59.380833333
45.033333333,12.8
45.033333333,12.8
2.3187,6.72829
12.05,45.05
26.57361,41.67304
15.426111,42.775833
66.0,33.0
14.316666666,40.916666666
7.1881,21.09375
7.990833333,16.972222222
9.583333333,30.416666666
139.458777777,37.675555555
139.458777777,37.675555555
139.458777777,37.675555555
144.75,13.483333333
139.458777777,37.675555555
7.0047,46.219
11.186388888,55.216111111
9.254904269,56.99560825
6.237222222,48.732777777
9.566666666,45.45
13.033611111,41.9825
21.409,38.6264
20.50165,48.466661111
14.144591066,56.748070407
7.01344,52.07936
72.58,23.03
72.58,23.03
11.133333333,48.45
3.5,49.5
8.736388888,41.925555555
34.959444444,31.8675
35.007222,29.523611
35.007222,29.523611
21.083333333,38.75
10.7524,59.9247
11.0,60.0
71.433333333,51.133333333
14.895,37.058
30.538611111,38.758055555
23.726111111,37.971666666
80.25,41.166389
92.896944444,20.144444444
86.7,32.7
28.01638889,43.2775
12.08694444,57.925
1.1188807,41.7711121
72.0,39.67
84.6,10.566666666
23.816666666,63.0
108.85,27.083333333
48.5,17.5
